0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,temp (K),norm_avg (1e44 cm^-5),norm_log_avg (1e44 cm^-5)
2.3079e-16,6.1308e-16,6.5582e-16,1.0133e-15,8.2829e-16,8.5066e-16,7.8056e-16,5.3562e-16,6.6126e-16,4.6574e-16,1.6605e-16,3.5157e-17,1.54e-17,1.9653e-18,8.4616e-18,1.7386e-18,6.584600000000002e-19,3.4229e-18,8.457700000000002e-19,1.4497e-18,1.0483e-18,0.0,5.6512e-19,3.3775000000000004e-19,0.0,1.5751e-19,0.0,5.2148e-19,15246500.0,2.454606960714286e-16,2.2975786294833403e-17
8.0934e-18,1.3502e-16,1.9546e-16,3.1068e-16,4.296e-16,3.4237e-16,2.6284e-16,1.4651e-16,1.4005e-16,4.0743e-17,1.0612e-17,0.0,0.0,0.0,0.0,0.0,0.0,4.8867000000000015e-19,3.71e-19,0.0,4.896700000000001e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18594100.0,7.2261705e-17,3.5017911703802035e-17
0.0,3.078e-17,6.9806e-17,1.0529e-16,9.427e-17,4.3587e-17,5.9957e-17,2.0103e-17,1.8497e-18,2.5949e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1055e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22676700.0,1.533368214285714e-17,1.858118263568619e-17
0.0,4.8652e-18,1.7721e-17,1.8597e-17,2.0558e-17,2.0433e-17,6.1927e-18,4.5762e-18,2.4571e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27656100.0,3.40715e-18,8.156519554767456e-18
0.0,0.0,0.0,3.8303e-18,0.0,0.0,2.1493e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33728800.0,2.1355714285714286e-19,1.2069278542984041e-18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41134400.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50166100.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61181600.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74614800.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90997800.0,0.0,
