temp (K),norm (1e44 cm^-5)
350946.0,0.0
428001.0,0.0
521976.0,0.0
636591.0,0.0
776363.0,0.0
946827.0,0.0
1154730.0,0.0
1408290.0,0.0
1717490.0,0.0
2094600.0,0.0
2554530.0,0.0
3115410.0,0.0
3799450.0,1.88323E-15
4633730.0,3.72247E-14
5651130.0,7.87566E-13
6891930.0,2.57029E-12
8405250.0,2.25447E-12
1.02507E7,2.273E-12
1.25015E7,2.66047E-12
1.52465E7,1.14848E-12
1.85941E7,3.2698E-13
2.26767E7,1.16018E-13
2.76561E7,3.33311E-14
3.37288E7,4.6475E-15
4.11344E7,0.0
5.01661E7,0.0
6.11816E7,0.0
7.46148E7,0.0
9.09978E7,0.0
